second,macparakeet_cpu,macparakeet_rss_kb,zoom_cpu,zoom_rss_kb,motion_cpu,motion_rss_kb,windowserver_cpu
1,9.4,479584,71.0,1211408,41.6,859952,83.5
2,6.6,479584,49.7,1211312,35.7,860160,83.3
3,6.7,479584,71.4,1211312,37.0,859872,92.1
4,6.5,479584,67.5,1211312,34.2,860256,86.2
5,7.1,479584,81.7,1211296,35.1,860000,84.0
6,8.0,479568,58.5,1211296,36.7,859776,86.5
7,8.9,479616,57.4,1211312,35.1,860208,86.9
8,7.1,479616,64.6,1211328,36.4,860016,89.7
9,7.0,479616,71.7,1211328,33.8,859744,87.1
10,6.7,479616,72.8,1211328,36.2,860080,77.7
11,6.6,479616,77.8,1211328,37.4,859760,88.6
12,7.8,479616,66.2,1211248,31.9,860032,90.3
13,6.5,479616,72.7,1211344,38.9,859776,87.3
14,8.0,479616,62.0,1211264,35.0,860160,79.9
15,7.2,432256,79.3,1211312,39.3,859840,88.7
16,8.1,432256,84.4,1211360,38.1,859696,86.2
17,6.2,432256,87.5,1211376,37.8,860080,89.2
18,6.0,432256,84.3,1211408,37.6,859840,85.0
19,9.0,432256,79.8,1211456,38.3,860160,77.6
20,7.5,432256,76.6,1211472,37.5,859904,87.8
21,8.7,432256,69.5,1211552,36.3,859712,91.9
22,6.6,432256,74.0,1211616,37.2,860224,85.8
23,9.1,432256,89.4,1211616,38.6,859968,89.7
24,7.2,432256,80.0,1211360,38.7,859712,73.9
25,6.9,432256,75.3,1211584,36.7,860048,85.3
26,8.2,432368,67.2,1211584,36.6,859728,74.7
27,6.8,432368,63.1,1211616,36.7,860112,89.5
28,6.8,432368,85.4,1211616,39.3,859984,90.9
29,7.1,432368,64.3,1211776,39.7,859728,73.0
30,8.0,432368,62.3,1211792,38.8,860096,78.7
31,7.5,432368,78.7,1211792,38.8,859824,89.4
32,7.4,432368,84.4,1211792,37.1,860224,87.2
33,6.9,432368,82.9,1211792,36.4,860032,83.9
34,7.6,432368,66.9,1211792,37.6,859776,91.8
35,8.0,432368,90.5,1211792,36.9,860096,88.7
36,6.5,432368,86.3,1211808,35.9,859840,75.5
37,7.2,432368,89.7,1211808,34.9,860096,73.0
38,7.3,432320,84.8,1211888,37.8,859824,84.5
39,7.1,432320,72.3,1211824,37.9,859984,90.5
40,7.6,432320,88.3,1211824,39.4,859792,91.9
