second,macparakeet_cpu,macparakeet_rss_kb,zoom_cpu,zoom_rss_kb,motion_cpu,motion_rss_kb,windowserver_cpu
1,8.1,388480,74.2,1210672,34.5,858560,91.4
2,7.9,388480,79.1,1210752,35.3,858880,90.0
3,9.2,388480,71.4,1210768,29.1,858592,85.6
4,8.3,388480,74.7,1210800,35.7,858416,88.4
5,7.6,388496,62.8,1210752,35.2,858736,80.1
6,51.3,388512,68.6,1210752,40.8,858432,88.4
7,9.2,388512,67.7,1210752,33.2,858736,85.8
8,8.1,388512,66.4,1210752,27.9,858432,73.1
9,9.6,388512,70.3,1210720,33.5,858688,82.8
10,8.2,388512,78.7,1210736,36.0,858864,94.6
11,13.1,388624,84.0,1210736,33.3,858608,76.6
12,10.8,388624,67.9,1210752,47.2,858416,92.3
13,45.5,388656,74.1,1210832,34.6,858672,86.2
14,8.9,388656,65.4,1210832,37.8,858416,87.8
15,10.4,388656,70.5,1210848,30.1,858672,79.5
16,9.6,388656,63.1,1210864,27.6,858416,85.6
17,7.1,388608,60.4,1210864,36.9,858672,86.0
18,9.0,388608,67.0,1210896,25.4,858416,78.2
19,9.4,388608,65.7,1210896,36.8,858784,83.3
20,13.7,388640,68.7,1210624,35.0,858592,84.7
21,8.7,388640,77.6,1210608,33.0,858848,76.4
22,10.2,388640,78.6,1210640,35.4,858736,80.6
23,7.4,388640,59.4,1210752,36.7,858608,77.4
24,8.8,388640,64.9,1210752,38.1,858416,84.8
25,37.4,389344,74.6,1210800,38.7,858784,81.0
26,7.9,388704,80.3,1210800,35.5,858528,81.1
27,7.7,388704,84.2,1210800,36.0,858784,89.8
28,7.8,388704,75.5,1210784,35.6,858640,85.4
29,7.4,388656,74.2,1210832,37.7,858448,85.7
30,7.5,388736,61.3,1210832,41.1,858576,76.9
31,8.0,388896,59.3,1210880,33.6,858848,89.5
32,9.2,388896,63.2,1210880,35.8,858656,74.7
33,7.7,388864,68.2,1210864,36.0,858912,88.8
34,9.9,388688,77.6,1210880,36.5,858704,88.1
35,6.8,388688,58.4,1210944,34.8,858752,71.6
36,35.9,388912,57.1,1210912,40.7,858704,94.5
37,7.1,388928,60.7,1210928,40.2,859024,87.5
38,6.7,388928,72.0,1210944,38.7,858832,75.2
39,6.5,388768,50.0,1210912,36.8,859168,85.7
40,7.7,388768,57.4,1210992,34.5,859040,84.7
